Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,49.709999,49.990002,48.880001,49.110001,47.207264,7785300
2020-02-11,49.919998,51.650002,49.680000,51.320000,49.331635,18096500
2020-02-12,51.869999,52.360001,50.669998,51.619999,49.620007,16617100
2020-02-13,51.349998,51.540001,50.450001,50.820000,48.851002,13806300
2020-02-14,50.880001,50.959999,49.570000,49.849998,47.918587,10022700
2020-02-17,50.080002,50.240002,49.099998,49.099998,47.197647,6749000
2020-02-18,48.959999,49.900002,48.700001,49.570000,47.649433,8929100
2020-02-19,49.500000,50.330002,49.150002,49.689999,47.764790,11148100
2020-02-20,50.000000,50.049999,48.680000,49.180000,47.274548,12052200
2020-02-21,48.810001,49.220001,48.330002,49.220001,47.313000,6435600
2020-02-26,null,null,null,null,null,null
2020-02-27,44.799999,47.590000,44.380001,45.790001,44.411900,31472900
2020-02-28,46.150002,46.860001,44.570000,46.860001,45.449696,26379200
2020-03-02,46.820000,47.490002,46.299999,47.150002,45.730972,13210200
2020-03-03,46.709999,47.360001,45.110001,45.770000,44.392498,21553700
2020-03-04,46.450001,46.689999,45.000000,45.820000,44.440994,19234000
2020-03-05,45.259998,45.570000,42.299999,43.110001,41.812557,25846800
2020-03-06,41.799999,42.720001,41.240002,42.299999,41.026939,19025700
2020-03-09,38.450001,40.189999,36.299999,37.630001,36.497486,25174600
2020-03-10,39.520000,40.689999,37.630001,39.610001,38.417896,32436700
2020-03-11,38.599998,38.820000,34.230000,36.189999,35.100819,25003500
2020-03-12,29.200001,31.950001,26.559999,31.250000,30.462202,31542400
2020-03-13,36.240002,37.669998,31.709999,36.490002,35.570110,40778100
2020-03-16,30.500000,32.799999,29.549999,30.400000,29.633633,31345200
2020-03-17,31.400000,33.290001,30.059999,31.870001,31.066572,27033700
2020-03-18,29.170000,30.160000,25.320000,26.610001,25.939177,38293300
2020-03-19,25.500000,27.690001,23.340000,25.570000,24.925394,41664900
2020-03-20,27.000000,27.900000,24.330000,24.600000,23.979847,29675100
2020-03-23,25.000000,25.000000,21.910000,22.129999,21.572115,26808100
2020-03-24,24.200001,26.480000,23.799999,25.920000,25.266571,25799300
2020-03-25,25.930000,30.570000,25.730000,29.030001,28.298168,25020600
2020-03-26,29.340000,31.670000,29.280001,30.490000,29.721363,25660000
2020-03-27,28.780001,29.500000,28.020000,28.240000,27.528084,20802400
2020-03-30,28.900000,29.459999,28.309999,28.990000,28.259178,15768600
2020-03-31,29.200001,29.500000,27.430000,27.889999,27.186907,18904200
2020-04-01,26.900000,27.280001,26.049999,26.709999,26.036654,19826600
2020-04-02,26.950001,27.799999,26.309999,27.020000,26.338840,15722400
2020-04-03,26.850000,26.889999,25.000000,25.500000,24.857159,18968100
2020-04-06,27.150000,28.299999,26.740000,27.860001,27.157665,21414000
2020-04-07,29.450001,30.500000,29.170000,29.170000,28.434639,21514700
2020-04-08,29.299999,30.549999,28.580000,29.730000,28.980520,19894100
2020-04-09,30.340000,30.879999,29.459999,29.650000,28.902538,17525600
2020-04-13,29.760000,30.299999,28.700001,30.240000,29.477667,18028700
