id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1094764,San Francisco Presidio Paradise!,172460,Leila,,Inner Richmond,37.78814,-122.46547,Entire home/apt,150,30,1,2021-10-31,0.03,2,365,0,
38047206,52 Vesta home,92965890,唱,,Bayview,37.7298,-122.40096,Private room,,90,0,,,1,0,0,
43475468,Beautiful Mission District Home and Backyard,65136730,Ryan,,Mission,37.75721,-122.41245,Entire home/apt,,30,0,,,1,0,0,
648549709021440854,LuxoStays | ! Quiet Rm #Private Bathrm & VIEW,226555948,Gi'Angelo,,Excelsior,37.7267606,-122.4085215,Private room,69,30,6,2024-01-13,0.33,13,216,3,2022-003280STR
47918229,"Blueground | Marina District, w/d, nr parks",107434423,Blueground,,Marina,37.80366,-122.44518,Entire home/apt,246,31,0,,,183,341,0,
938317240177880784,Presidio Heights Condo - 2bdrm/2 bath,51769509,Turner,,Presidio Heights,37.78986,-122.45094,Entire home/apt,328,5,12,2024-02-29,1.62,1,277,12,2023-006462STR
24823466,Live like a local in the heart of the City,10729940,Claudia,,Castro/Upper Market,37.766,-122.43498,Private room,135,30,7,2023-08-08,0.10,2,172,2,
53849558,Stunning 1-Bedroom Loft in Clock Tower Building,3793516,Audrey,,South of Market,37.78425,-122.39254,Entire home/apt,175,30,7,2023-05-09,0.28,2,153,1,
20077154,SF private room r,66385869,Bobby,,Outer Mission,37.7249,-122.43979,Private room,60,30,7,2024-02-15,0.10,2,179,2,STR-0001337
30774802,Modern New place & furnished  for Long term stay,230265204,Athena,,Excelsior,37.72682,-122.42159,Private room,40,30,48,2022-09-11,0.77,4,265,0,1096490
415498,Prime Location - Studio Apartment,216682,Jay,,Pacific Heights,37.79395,-122.42609,Entire home/apt,80,30,31,2024-01-31,0.21,9,259,2,
24491303,SoMa Retreat,23186636,Dongen Bradley,,South of Market,37.77839848781604,-122.40307632421353,Private room,120,30,0,,,1,365,0,
725479609346985276,546D - Large Master Bedroom w/ Private Bath Fits 4,122429357,Irene,,Excelsior,37.72215,-122.43442,Private room,61,30,16,2024-02-20,1.00,4,179,14,2022-011566STR
3442439,Spacious Bernal Heights In-law with private entry.,17349647,Candace And Joshua,,Bernal Heights,37.73606,-122.42367,Entire home/apt,125,2,255,2024-03-03,3.44,1,48,59,STR-0005883
53747035,"Blueground | Rincon Hill, gym & lounge, nr shops",107434423,Blueground,,South of Market,37.78770300000001,-122.391971,Entire home/apt,209,31,0,,,183,341,0,
2802480,Marina Modern 2BR (30 day min),14333760,Alessandra,,Marina,37.80101,-122.44527,Entire home/apt,285,30,41,2022-08-31,0.34,1,173,0,
48955947,Classic Pac Hts 1bd Victorian meets SF. Pet ok*,91488071,Dan And Jan,,Pacific Heights,37.79401,-122.42664,Entire home/apt,125,30,10,2023-11-04,0.36,3,195,2,
25376401,"Cheerful Suite w/ Garden, Steps from Dolores Park",113405017,Russell,,Castro/Upper Market,37.75836,-122.43004,Entire home/apt,208,2,135,2024-02-04,1.93,3,103,40,City registration pending
53835580,Studio with Balcony & Stunning Bay Bridge View,25416774,Maryam,,Financial District,37.79508634688912,-122.40102883936464,Entire home/apt,155,30,6,2023-10-22,0.27,1,85,3,
40490045,Queen bedroom by BART subway,9080666,Sandy,,Outer Mission,37.7264,-122.43498,Private room,50,30,3,2023-08-26,0.10,7,85,1,
21596397,Take it Easy on Potrero Hill,4718164,Serena Leilani,,Potrero Hill,37.75644,-122.40096,Entire home/apt,110,2,298,2024-03-04,3.98,1,172,50,STR-0005562
934012,One block from Golden Gate Park!,5037105,David,,Inner Richmond,37.77596,-122.46187,Entire home/apt,100,30,83,2023-08-13,0.63,1,263,3,
30931569,large 2 bedroom 2 bath in Pacific heights,694377,Beatrice,,Marina,37.79699,-122.4333,Entire home/apt,135,30,4,2023-11-22,0.10,18,311,1,
17642091,Audrey & Nick's Place,6641931,Audrey,,Bernal Heights,37.74503,-122.41992,Entire home/apt,104,2,258,2024-01-30,3.16,1,34,40,STR-0002145
597198179407251720,Cozy 1 BDRM w/ Private Entry 15 min. from SFO,196277030,Josh,,Crocker Amazon,37.71071,-122.43878,Private room,120,2,16,2023-10-02,0.72,1,278,2,2022-004090STR
1034109594804720712,Private Room Near GG Park & UCSF - Room 2,80148053,Amy,,Inner Sunset,37.75402,-122.46636,Private room,146,1,0,,,5,243,0,2023-009362STR
21189031,Sunny Studio Apartment with Private Deck.,72810477,David,,Noe Valley,37.75136,-122.42559,Entire home/apt,152,2,77,2024-01-27,0.99,1,40,6,STR-0005735
